chargedeviceid,name,latitude,longitude,town,chargedevicestatus,locationtype,datecreated,dateupdated,connectorcount
789ac459731d88cd53599cfa42270446,LEDAIG CAR PARK TOBERMORY,56.620734,-6.0698,ISLE OF MULL,IN SERVICE,PUBLIC CAR PARK,2016-10-19T11:41:28Z,2020-01-11T11:55:17Z,3
67968af79a4fafec766aed5d7043942c,DUNS RECYCLING CENTRE,55.7706,-2.33836,DUNS,IN SERVICE,OTHER,2016-10-19T14:12:17Z,2020-01-11T11:55:54Z,3
33457f8d053507edc391a327a79f29d2,LAUDER ROADS DEPOT,55.723995,-2.759726,LAUDER,IN SERVICE,OTHER,2016-10-21T12:16:50Z,2020-01-11T11:56:30Z,3
1c4e2616b99c424f6f974f6719634270,CARNOUSTIE LEISURE CENTRE,56.499293,-2.71015,CARNOUSTIE,IN SERVICE,LEISURE CENTRE,2016-10-21T13:04:48Z,2020-01-11T11:56:59Z,1
127dd14e8535570664af54cccb4d55c8,DALMUIR TRAIN STATION CAR PARK,55.911131,-4.427911,CLYDEBANK,IN SERVICE,PARK & RIDE SITE,2016-10-21T13:47:28Z,2020-01-11T11:57:46Z,2
d227309c6d46920e9bff16ba334e3487,DALMUIR TRAIN STATION CAR PARK,55.911129,-4.427944,CLYDEBANK,IN SERVICE,PARK & RIDE SITE,2016-10-21T13:57:18Z,2020-01-11T11:58:17Z,2
628fb7aca66ba4199a88ae08947fb21d,SHAPINSAY DEVELOPMENT TRUST,59.034787,-2.905301,ORKNEY,IN SERVICE,OTHER,2016-10-24T12:11:34Z,2020-01-11T11:58:46Z,2
0e6829024dfba4228e40074538e73579,BURNS STATUE SQUARE AYR,55.45762,-4.62775,AYR,IN SERVICE,WORKPLACE CAR PARK,2016-10-26T12:31:55Z,2020-01-11T11:59:12Z,2
7477d0986a135e5e948d70e9995a609c,EAST HAMILTON STREET DEPOT GREENOCK,55.942239,-4.726831,GREENOCK,IN SERVICE,OTHER,2016-10-26T12:52:44Z,2020-01-11T11:59:45Z,2
a782e1010694d522486196d4c997d21d,NIDDRIE MAINS ROAD,55.933135,-3.135871,EDINBURGH,IN SERVICE,OTHER,2016-10-27T09:35:59Z,2020-01-11T12:00:11Z,3
546967809a9a2792688dd284354a3a80,MURRAYBURN DEPOT,55.922457,-3.270558,EDINBURGH,IN SERVICE,OTHER,2016-10-27T12:35:45Z,2020-01-11T12:00:46Z,3
96ce234f4153d252d90a4c1bc4b6bdee,BROOMHILL ROAD ABERDEEN,57.136221,-2.115193,ABERDEEN,IN SERVICE,PUBLIC CAR PARK,2016-11-16T15:07:56Z,2020-01-11T12:01:17Z,3
f303dc9c7efda3e8fc5463088620af20,NELSON STREET CAR PARK HUNTLY,57.44771,-2.789727,HUNTLY,IN SERVICE,PUBLIC CAR PARK,2016-11-18T13:48:49Z,2020-01-11T12:01:59Z,3
06d2f727a824e7b228da38d6742fb939,HIGH STREET TURRIFF,57.537266,-2.461509,TURRIFF,IN SERVICE,RETAIL CAR PARK,2016-11-18T14:18:46Z,2020-01-11T12:02:26Z,1
0651279f1f67b3dfd57a0fd8f0668bb2,MARKET SQUARE STONEHAVEN,56.964076,-2.208391,STONEHAVEN,IN SERVICE,PUBLIC CAR PARK,2016-11-18T14:41:53Z,2020-01-11T12:03:14Z,1
a34887e7aeeb44c4a6632381e396cb88,GORDON HOUSE INVERURIE ABERDEENSHIRE COUNCIL BUILDING,57.28334,-2.38976,INVERURIE,IN SERVICE,OTHER,2016-11-23T08:57:35Z,2020-01-11T12:03:46Z,2
aeeccb23240a0d6ee5b5c0ef3e314a4a,LAINGS INVERURIE BUSINESS PARK,57.286949,-2.369967,INVERURIE,IN SERVICE,WORKPLACE CAR PARK,2016-11-23T09:21:23Z,2020-01-11T12:04:13Z,2
d10278e3d6977617aabab2565a588026,RIVERBANK RESOURCE CENTRE - FORTHVIEW STIRLING,56.126019,-3.934258,STIRLING,IN SERVICE,WORKPLACE CAR PARK,2016-11-25T13:42:00Z,2020-01-11T12:04:39Z,2
2d9de9b16939a32d828b6ed11b24ffdc,RENFREWSHIRE RECYCLING CENTRE,55.848236,-4.436432,PAISLEY,IN SERVICE,OTHER,2016-12-20T09:25:36Z,2020-01-11T12:05:15Z,3
4a086d3cca4e5a12f0483945d526f2bb,CANAL STREET CAR PARK PERTH,56.394097,-3.428789,PERTH,IN SERVICE,PUBLIC CAR PARK,2017-01-04T09:18:24Z,2020-01-11T12:05:44Z,3
91f0781ed781058d7966f00c17a0d951,COMRIE CROFT,56.384449,-3.94026,CRIEFF,IN SERVICE,HOTEL / ACCOMMODATION,2017-01-26T10:51:45Z,2020-01-11T12:06:14Z,2
0a558d4599812ec05864735715691c48,BURNS STATUE SQUARE,55.457739,-4.627316,AYR,IN SERVICE,PUBLIC CAR PARK,2017-08-29T09:40:20Z,2020-01-11T12:06:51Z,2
3838666dc21b6ae0036134c23ad1a723,RIVERBANK RESOURCE CENTRE - FORTHVIEW STIRLING,56.126019,-3.934258,STIRLING,IN SERVICE,WORKPLACE CAR PARK,2017-08-30T08:11:13Z,2020-01-11T12:07:18Z,2
a17379f02b1d82946a49cd865931e8ad,JAMES WATT DOCK MARINA,55.942178,-4.725005,GREENOCK,IN SERVICE,OTHER,2017-08-30T08:23:57Z,2020-01-11T12:07:49Z,3
1e8221e3299df511eadbe2900e7ef7ff,CAITHNESS HOSPITAL WICK - NHS HIGHLAND,58.441343,-3.095738,CAITHNESS,IN SERVICE,NHS PROPERTY,2017-08-30T08:41:26Z,2020-01-11T12:08:27Z,2
b2c6a69cb348f63b04e272ad9679e5fa,TRADING STANDARDS BUILDING AYR,55.464927,-4.628384,AYR,IN SERVICE,WORKPLACE CAR PARK,2017-08-30T08:53:05Z,2020-01-11T12:08:53Z,1
b0d0806219e491e017bc08fa80ae90e9,QUEEN STREET CAR PARK BROUGHTY FERRY,56.46774,-2.873403,DUNDEE CITY,IN SERVICE,PUBLIC CAR PARK,2017-08-30T09:39:19Z,2020-01-11T12:09:29Z,3
56ae29d4498e449970c307bd958b128b,FES SUPPORT SERVICES - STORNOWAY,58.206559,-6.380641,STORNOWAY,IN SERVICE,WORKPLACE CAR PARK,2017-09-14T12:59:55Z,2019-09-05T09:58:57Z,2
85d685ca59a23be9502c28c1f7dcdb1e,FORTH BRIDGE VISITORS CENTRE,55.987824,-3.404148,SOUTH QUEENSFERRY,IN SERVICE,PUBLIC CAR PARK,2017-09-14T13:45:33Z,2020-01-11T12:10:11Z,3
1d3645b6b57843ccfe1e0317d7cdaef7,ARGYLL COLLEGE,56.401902,-5.474934,OBAN,IN SERVICE,EDUCATIONAL ESTABLISHMENT,2017-09-14T14:01:37Z,2020-01-11T12:10:44Z,2
569479b3a8a21a6a83fa86ad9e823652,LOCH LOMOND SHORES 1,56.00527,-4.591165,BALLOCH,OUT OF SERVICE,PUBLIC CAR PARK,2017-09-18T08:28:56Z,2020-01-11T12:11:13Z,2
1a572981681bbe89a6506dd43ad80ec7,LOCH LOMOND SHORES 2,56.00527,-4.591165,BALLOCH,IN SERVICE,PUBLIC CAR PARK,2017-09-18T10:40:37Z,2020-01-11T12:11:52Z,2
ccfb0d5392de3381728c7fffd8857fde,WEST HARRIS TRUST,57.867894,-6.939921,ISLE OF HARRIS,IN SERVICE,PUBLIC CAR PARK,2017-10-05T13:46:14Z,2020-01-11T12:12:34Z,2
a4f6122f4ff9b04cec9053f0dc83c777,NORTH HARRIS TARBERT HEALTH HUB,57.901724,-6.813834,WEST TARBERT,IN SERVICE,WORKPLACE CAR PARK,2017-10-05T13:52:39Z,2020-01-18T10:00:23Z,2
